QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE504_NEG_01.raw,PREC:mE504_NEG_02.raw,PREC:mE504_NEG_03.raw,PREC:mE504_NEG_04.raw,PREC:mE504_NEG_05.raw,SUMFA:mE504_NEG_01.raw,SUMFA:mE504_NEG_02.raw,SUMFA:mE504_NEG_03.raw,SUMFA:mE504_NEG_04.raw,SUMFA:mE504_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE504_NEG_01.raw,FA1INTENS:mE504_NEG_02.raw,FA1INTENS:mE504_NEG_03.raw,FA1INTENS:mE504_NEG_04.raw,FA1INTENS:mE504_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE504_NEG_01.raw,FA2INTENS:mE504_NEG_02.raw,FA2INTENS:mE504_NEG_03.raw,FA2INTENS:mE504_NEG_04.raw,FA2INTENS:mE504_NEG_05.raw,MASSFRAG1,FRAG1:mE504_NEG_01.raw,FRAG1:mE504_NEG_02.raw,FRAG1:mE504_NEG_03.raw,FRAG1:mE504_NEG_04.raw,FRAG1:mE504_NEG_05.raw,MASSFRAG2,FRAG2:mE504_NEG_01.raw,FRAG2:mE504_NEG_02.raw,FRAG2:mE504_NEG_03.raw,FRAG2:mE504_NEG_04.raw,FRAG2:mE504_NEG_05.raw,MASSNLS,NLS:mE504_NEG_01.raw,NLS:mE504_NEG_02.raw,NLS:mE504_NEG_03.raw,NLS:mE504_NEG_04.raw,NLS:mE504_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE504_NEG_01.raw,FAOINTENS:mE504_NEG_02.raw,FAOINTENS:mE504_NEG_03.raw,FAOINTENS:mE504_NEG_04.raw,FAOINTENS:mE504_NEG_05.raw,NEG
PEONegMS2,H77 C43 N1 O7 P1 ,2.4,PEO-,38,5,PEO- 38:5,PEO- 16:0-22:5,750.5461,15686417,10625910.4,306578.6,419291.4,0,24670.8,18653.8,2622.5,2051.2,0,22:05,329.2483,24672.5,18655.5,2622.5,2051.2,0,None, None, None, None, None, None, None,196.0373,232865.1,182772.5,6772.5,4907.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,438.296,-1.7,-1.7,0,0,0,
PEONegMS2,H77 C43 N1 O7 P1 ,2.4,PEO-,38,5,PEO- 38:5,PEO- 16:1-22:4,750.5461,15686417,10625910.4,306578.6,419291.4,0,4494559.1,3541258.3,28751,27890.7,0,22:04,331.2644,4037574.7,3182858.4,28751,27890.7,0,None, None, None, None, None, None, None,196.0373,232865.1,182772.5,6772.5,4907.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2835,456984.3,358399.9,0,0,0,
PEONegMS2,H79 C43 N1 O7 P1 ,3.1,PEO-,38,4,PEO- 38:4,PEO- 18:0-20:4,752.5623,1957922.8,1579963.6,200221.4,184684.2,0,703604.3,494450.1,116122.9,95607.5,0,20:04,303.233,606695.8,414774.9,101157.2,82427.7,0,None, None, None, None, None, None, None,196.0374,616.5,-1.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3302,96908.5,79675.2,14965.7,13179.8,0,
PEONegMS2,H79 C43 N1 O7 P1 ,3.1,PEO-,38,4,PEO- 38:4,PEO- 18:1-20:3,752.5623,1957922.8,1579963.6,200221.4,184684.2,0,156195.2,125430.8,13334.5,7784.3,0,20:03,305.246,154732.1,125432.5,13334.5,7784.3,0,None, None, None, None, None, None, None,196.0374,616.5,-1.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3141,1463.1,-1.7,0,0,0,
PEONegMS2,H79 C43 N1 O7 P1 ,3.1,PEO-,38,4,PEO- 38:4,PEO- 16:0-22:4,752.5623,1957922.8,1579963.6,200221.4,184684.2,0,293658.4,192059.8,7778.7,4635.7,0,22:04,331.2641,229167.9,149808.4,7778.7,4635.7,0,None, None, None, None, None, None, None,196.0374,616.5,-1.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:0,438.2973,64490.6,42251.5,0,0,0,
PEONegMS2,H81 C43 N1 O7 P1 ,1.9,PEO-,38,3,PEO- 38:3,PEO- 18:0-20:3,754.577,24867.7,9953.5,1498.7,5072,0,6389.4,6508.1,5824.5,2606.4,0,20:03,305.2471,6391.1,6509.7,5824.5,2606.4,0,None, None, None, None, None, None, None,196.0368,16625,12702.2,3347.2,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3289,-1.7,-1.7,0,0,0,
PEONegMS2,H81 C43 N1 O7 P1 ,1.9,PEO-,38,3,PEO- 38:3,PEO- 18:1-20:2,754.577,24867.7,9953.5,1498.7,5072,0,32528.9,24116.9,0,0,0,20:02,307.2641,28749.9,24116.9,0,0,0,None, None, None, None, None, None, None,196.0368,16625,12702.2,3347.2,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3184,3779,0,0,0,0,
PEONegMS2,H81 C43 N1 O7 P1 ,1.9,PEO-,38,3,PEO- 38:3,PEO- 16:1-22:2,754.577,24867.7,9953.5,1498.7,5072,0,42816.3,29628.6,0,0,0,22:02,335.2954,37399.3,26657.7,0,0,0,None, None, None, None, None, None, None,196.0368,16625,12702.2,3347.2,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2823,5417,2970.9,0,0,0,
PEONegMS2,H85 C43 N1 O7 P1 ,2.3,PEO-,38,1,PEO- 38:1,PEO- 18:0-20:1,758.6087,-1.7,-1.7,-1.7,0,0,14186.5,19717.3,5282.2,3829.6,0,20:01,309.2795,14186.5,15080.8,5282.2,3829.6,0,None, None, None, None, None, None, None,196.0372,9675.3,4473.5,0,3683.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3273,0,4636.6,0,0,0,
PEONegMS2,H73 C45 N1 O7 P1 ,-0.7,PEO-,40,9,PEO- 40:9,PEO- 18:3-22:6,770.5124,7866.2,21789.3,0,0,0,77384.3,72763.3,3965,3480.2,0,22:06,327.2334,57961.6,53225.5,3965,3480.2,0,None, None, None, None, None, None, None,196.0374,15560.8,14323.9,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:3,460.2832,19422.7,19537.8,0,0,0,
PEONegMS2,H75 C45 N1 O7 P1 ,2.3,PEO-,40,8,PEO- 40:8,PEO- 18:2-22:6,772.5305,2423980.8,1987971,21610.5,58861.9,0,691128,581852.4,24586.1,30805.6,0,22:06,327.233,518280.5,440814.3,20269.2,25710.5,0,None, None, None, None, None, None, None,196.0375,51432.2,45599.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2998,172847.6,141038.1,4316.9,5095.1,0,
PEONegMS2,H75 C45 N1 O7 P1 ,2.3,PEO-,40,8,PEO- 40:8,PEO- 18:3-22:5,772.5305,2423980.8,1987971,21610.5,58861.9,0,41221.6,37060.2,0,0,0,22:05,329.2489,38482.3,31907.5,0,0,0,None, None, None, None, None, None, None,196.0375,51432.2,45599.1,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:3,460.2839,2739.3,5152.7,0,0,0,
PEONegMS2,H77 C45 N1 O7 P1 ,2.5,PEO-,40,7,PEO- 40:7,PEO- 18:2-22:5,774.5462,6116051.5,4525696.2,435508.5,602218.7,0,349833.8,263750.2,6051.2,0,0,22:05,329.2482,312080.3,234487.2,6051.2,0,0,None, None, None, None, None, None, None,196.0374,108807.3,87380.9,9981.3,9341.6,17745,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2993,37753.5,29263,0,0,0,
PEONegMS2,H77 C45 N1 O7 P1 ,2.5,PEO-,40,7,PEO- 40:7,PEO- 18:1-22:6,774.5462,6116051.5,4525696.2,435508.5,602218.7,0,1325708.9,1096986.9,103457.3,114855,0,22:06,327.2331,979449,824381.1,79387.4,89455.6,0,None, None, None, None, None, None, None,196.0374,108807.3,87380.9,9981.3,9341.6,17745,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3149,346259.9,272605.8,24070,25399.4,0,
PEONegMS2,H77 C45 N1 O7 P1 ,2.5,PEO-,40,7,PEO- 40:7,PEO- 18:3-22:4,774.5462,6116051.5,4525696.2,435508.5,602218.7,0,206354.5,151774.7,0,0,0,22:04,331.2643,187340.8,134798.4,0,0,0,None, None, None, None, None, None, None,196.0374,108807.3,87380.9,9981.3,9341.6,17745,None, None, None, None, None, None, None, None, None, None, None, None, 18:3,460.2844,19013.7,16976.3,0,0,0,
PEONegMS2,H79 C45 N1 O7 P1 ,3,PEO-,40,6,PEO- 40:6,PEO- 18:0-22:6,776.5623,5397329.7,3866029.3,580996.7,565610.4,0,373818.4,286304.4,96470.1,80698.1,0,22:06,327.2331,243618.4,184613.4,71664.4,55443.8,0,None, None, None, None, None, None, None,196.0381,49422.3,34351.4,1917.2,586.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3299,130200,101690.9,24805.7,25254.3,0,
PEONegMS2,H79 C45 N1 O7 P1 ,3,PEO-,40,6,PEO- 40:6,PEO- 20:2-20:4,776.5623,5397329.7,3866029.3,580996.7,565610.4,0,104341.8,71749.1,18173.7,14291.1,0,20:04,303.2329,99581.7,66235.1,18173.7,14291.1,0,None, None, None, None, None, None, None,196.0381,49422.3,34351.4,1917.2,586.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:2,490.3321,4760.1,5514,0,0,0,
PEONegMS2,H79 C45 N1 O7 P1 ,3,PEO-,40,6,PEO- 40:6,PEO- 16:1-24:5,776.5623,5397329.7,3866029.3,580996.7,565610.4,0,151280,104833.2,0,0,0,24:05:00,357.28,127572.4,86796,0,0,0,None, None, None, None, None, None, None,196.0381,49422.3,34351.4,1917.2,586.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2832,23707.6,18037.2,0,0,0,
PEONegMS2,H79 C45 N1 O7 P1 ,3,PEO-,40,6,PEO- 40:6,PEO- 18:2-22:4,776.5623,5397329.7,3866029.3,580996.7,565610.4,0,1229235.7,905089.4,5326.8,6722.3,0,22:04,331.264,1105225.8,808405,5326.8,6722.3,0,None, None, None, None, None, None, None,196.0381,49422.3,34351.4,1917.2,586.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2996,124009.9,96684.4,0,0,0,
PEONegMS2,H79 C45 N1 O7 P1 ,3,PEO-,40,6,PEO- 40:6,PEO- 18:1-22:5,776.5623,5397329.7,3866029.3,580996.7,565610.4,0,602152.5,483427.4,14049.6,17281.4,0,22:05,329.2478,531433.2,416853.8,14049.6,15530.5,0,None, None, None, None, None, None, None,196.0381,49422.3,34351.4,1917.2,586.4,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3181,70719.3,66573.6,0,1750.9,0,
PEONegMS2,H81 C45 N1 O7 P1 ,5.4,PEO-,40,5,PEO- 40:5,PEO- 16:1-24:4,778.5798,3329084.4,2232781.8,-1.7,61296.8,0,126160.4,94774,0,0,0,24:04:00,359.2957,119722.5,87489.5,0,0,0,None, None, None, None, None, None, None,196.0375,69836.5,60134.1,2996,2814.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2848,6437.9,7284.5,0,0,0,
PEONegMS2,H81 C45 N1 O7 P1 ,5.4,PEO-,40,5,PEO- 40:5,PEO- 18:0-22:5,778.5798,3329084.4,2232781.8,-1.7,61296.8,0,58620.9,39964.4,19756.7,16605.8,0,22:05,329.2482,58622.6,39966.1,17544.1,15595.8,0,None, None, None, None, None, None, None,196.0375,69836.5,60134.1,2996,2814.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3292,-1.7,-1.7,2212.7,1010,0,
PEONegMS2,H81 C45 N1 O7 P1 ,5.4,PEO-,40,5,PEO- 40:5,PEO- 20:1-20:4,778.5798,3329084.4,2232781.8,-1.7,61296.8,0,312593.4,254633.5,63452.3,72392.8,0,20:04,303.2331,281942,237121.4,59948.3,66652.8,0,None, None, None, None, None, None, None,196.0375,69836.5,60134.1,2996,2814.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:1,492.3495,30651.4,17512.1,3504,5740,0,
PEONegMS2,H81 C45 N1 O7 P1 ,5.4,PEO-,40,5,PEO- 40:5,PEO- 18:2-22:3,778.5798,3329084.4,2232781.8,-1.7,61296.8,0,56288.4,41033.5,0,0,0,22:03,333.2763,56290,41035.2,0,0,0,None, None, None, None, None, None, None,196.0375,69836.5,60134.1,2996,2814.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.3018,-1.7,-1.7,0,0,0,
PEONegMS2,H81 C45 N1 O7 P1 ,5.4,PEO-,40,5,PEO- 40:5,PEO- 18:1-22:4,778.5798,3329084.4,2232781.8,-1.7,61296.8,0,1964994.6,1563799.7,24909,27445.7,0,22:04,331.2643,1754803.3,1400269.5,21063.7,27445.7,0,None, None, None, None, None, None, None,196.0375,69836.5,60134.1,2996,2814.9,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3138,210191.4,163530.1,3845.3,0,0,
PEONegMS2,H83 C45 N1 O7 P1 ,2.7,PEO-,40,4,PEO- 40:4,PEO- 18:0-22:4,780.5934,1010236.9,714433.1,259004.6,305171.4,0,212463.5,168015.5,49913.2,45458.6,0,22:04,331.2645,169937.1,131210.4,45864.2,41049.6,0,None, None, None, None, None, None, None,196.0375,13442.7,6649.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:0,466.3284,42526.4,36805.1,4049,4409,0,
PEONegMS2,H83 C45 N1 O7 P1 ,2.7,PEO-,40,4,PEO- 40:4,PEO- 20:0-20:4,780.5934,1010236.9,714433.1,259004.6,305171.4,0,371521.7,265718,124290.1,116580.6,0,20:04,303.233,354400.3,250411.5,117899.5,112635.6,0,None, None, None, None, None, None, None,196.0375,13442.7,6649.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:0,494.3617,17121.4,15306.5,6390.6,3945,0,
PEONegMS2,H83 C45 N1 O7 P1 ,2.7,PEO-,40,4,PEO- 40:4,PEO- 20:1-20:3,780.5934,1010236.9,714433.1,259004.6,305171.4,0,26136,10183.7,5751.2,4431.4,0,20:03,305.2459,17818.8,10183.7,5751.2,4431.4,0,None, None, None, None, None, None, None,196.0375,13442.7,6649.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:1,492.3464,8317.2,0,0,0,0,
PEONegMS2,H83 C45 N1 O7 P1 ,2.7,PEO-,40,4,PEO- 40:4,PEO- 16:1-24:3,780.5934,1010236.9,714433.1,259004.6,305171.4,0,24341.5,17113.7,0,0,0,24:03:00,361.3097,19195.6,13331.6,0,0,0,None, None, None, None, None, None, None,196.0375,13442.7,6649.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 16:1,436.2826,5145.9,3782.1,0,0,0,
PEONegMS2,H83 C45 N1 O7 P1 ,2.7,PEO-,40,4,PEO- 40:4,PEO- 18:2-22:2,780.5934,1010236.9,714433.1,259004.6,305171.4,0,14135.9,5273.5,0,0,0,22:02,335.2961,9774.1,5273.5,0,0,0,None, None, None, None, None, None, None,196.0375,13442.7,6649.6,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.3018,4361.8,0,0,0,0,
PEONegMS2,H79 C47 N1 O7 P1 ,4.2,PEO-,42,8,PEO- 42:8,PEO- 20:4-22:4,800.5633,32922.2,125943.3,11850,910.9,0,9142.2,2818.6,0,0,0,22:04,331.2633,4578,2818.6,0,0,0,None, None, None, None, None, None, None,196.0377,22755.2,14276.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:4,486.2997,4564.3,0,0,0,0,
PEONegMS2,H79 C47 N1 O7 P1 ,4.2,PEO-,42,8,PEO- 42:8,PEO- 20:2-22:6,800.5633,32922.2,125943.3,11850,910.9,0,26575.1,20245.3,3677.6,7244.2,0,22:06,327.2322,22185.1,15578.9,3677.6,7244.2,0,None, None, None, None, None, None, None,196.0377,22755.2,14276.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:2,490.3278,4390,4666.3,0,0,0,
PEONegMS2,H81 C47 N1 O7 P1 ,3.3,PEO-,42,7,PEO- 42:7,PEO- 20:1-22:6,802.5782,402128.1,328420.3,42193.2,94401,0,96032.5,84336.8,32512.6,48710.7,0,22:06,327.2329,80258.6,67402.6,27057.3,40203.9,0,None, None, None, None, None, None, None,196.0376,27004,19031,4517.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:1,492.346,15774,16934.2,5455.3,8506.8,0,
PEONegMS2,H81 C47 N1 O7 P1 ,3.3,PEO-,42,7,PEO- 42:7,PEO- 18:1-24:6,802.5782,402128.1,328420.3,42193.2,94401,0,9788.1,3235.9,0,0,0,24:06:00,355.2649,5973.4,3235.9,0,0,0,None, None, None, None, None, None, None,196.0376,27004,19031,4517.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3156,3814.7,0,0,0,0,
PEONegMS2,H81 C47 N1 O7 P1 ,3.3,PEO-,42,7,PEO- 42:7,PEO- 18:2-24:5,802.5782,402128.1,328420.3,42193.2,94401,0,43315.2,23946.1,0,0,0,24:05:00,357.2798,34643,23946.1,0,0,0,None, None, None, None, None, None, None,196.0376,27004,19031,4517.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.2965,8672.2,0,0,0,0,
PEONegMS2,H83 C47 N1 O7 P1 ,3.4,PEO-,42,6,PEO- 42:6,PEO- 18:2-24:4,804.594,630220.6,550928.6,231081.8,234445.7,0,33285.6,28418.6,0,0,0,24:04:00,359.2957,29953.2,22638.4,0,0,0,None, None, None, None, None, None, None,196.0378,11057.3,11810,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:2,462.3015,3332.4,5780.2,0,0,0,
PEONegMS2,H83 C47 N1 O7 P1 ,3.4,PEO-,42,6,PEO- 42:6,PEO- 20:1-22:5,804.594,630220.6,550928.6,231081.8,234445.7,0,24290,19268.1,0,4652.5,0,22:05,329.2482,20570.5,19268.1,0,4652.5,0,None, None, None, None, None, None, None,196.0378,11057.3,11810,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:1,492.3492,3719.5,0,0,0,0,
PEONegMS2,H83 C47 N1 O7 P1 ,3.4,PEO-,42,6,PEO- 42:6,PEO- 20:0-22:6,804.594,630220.6,550928.6,231081.8,234445.7,0,101688.1,57788.5,37523.9,43970.1,0,22:06,327.233,81376.4,41111.7,29985.2,35281.1,0,None, None, None, None, None, None, None,196.0378,11057.3,11810,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 20:0,494.3619,20311.7,16676.8,7538.7,8689.1,0,
PEONegMS2,H83 C47 N1 O7 P1 ,3.4,PEO-,42,6,PEO- 42:6,PEO- 18:1-24:5,804.594,630220.6,550928.6,231081.8,234445.7,0,47689.6,42766.9,0,0,0,24:05:00,357.2799,43091.3,37597.8,0,0,0,None, None, None, None, None, None, None,196.0378,11057.3,11810,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, 18:1,464.3145,4598.2,5169.2,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PENegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENegMS2,H61 C31 N1 O8 P1 ,-2,PE,26,0,PE 26:0,PE 12:0-14:0,606.4128,0,0,1135.8,0,0,33905.6,17033.5,23750,18097.9,19172.5,12:00,199.1698,30253.4,13055.4,19096.3,14474.4,14952.6,14:00,227.2015,3652.2,3978.1,4653.7,3623.5,4219.9,196.0373,12605.9,15258.7,7523.6,5784.8,9277.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H63 C35 N1 O8 P1 ,-5.8,PE,30,3,PE 30:3,PE 14:3-16:0,656.4259,2491.1,0,5984.3,12139.5,277759.9,59636.9,41468.8,36113.1,21779.9,8598.2,14:03,221.1535,3208.7,0,0,0,0,16:00,255.2328,56428.2,41468.8,36113.1,21779.9,8598.2,196.0375,14782.1,17976.8,6059.3,6018.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H65 C35 N1 O8 P1 ,3.7,PE,30,2,PE 30:2,PE 12:0-18:2,658.4478,0,0,0,0,960.3,8521.5,8215.4,15005.5,8430.4,2644,12:00,199.1697,2149,2164,3324.4,0,2644,18:02,279.2331,6372.4,6051.3,11681.1,8430.4,0,196.0378,5007.4,4577.8,1957.6,2770.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H69 C37 N1 O8 P1 ,3.8,PE,32,2,PE 32:2,PE 16:1-16:1,686.4792,0,0,0,0,1136.8,17045.7,10359.5,-3.1,116.1,0,16:01,253.2171,8522.9,5179.7,-1.5,58.1,0,16:01,253.2171,8522.9,5179.7,-1.5,58.1,0,196.0374,2731.4,1731,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H69 C37 N1 O8 P1 ,3.8,PE,32,2,PE 32:2,PE 18:2-14:0,686.4792,0,0,0,0,1136.8,20129.3,19125.4,-1.5,1961.8,0,18:02,279.233,16288.3,15744.5,-1.5,1961.8,0,14:00,227.2016,3841,3380.9,0,0,0,196.0374,2731.4,1731,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H71 C37 N1 O8 P1 ,1.5,PE,32,1,PE 32:1,PE 16:1-16:0,688.4933,139699.7,71991.1,0,0,0,301868.3,229192.1,38585.6,35775.4,663.9,16:01,253.2173,119601.5,90921.9,3097.4,2284.3,0,16:00,255.233,182266.8,138270.2,35488.2,33491.1,663.9,196.0373,4442.2,10893.8,3740.1,0,4345.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H71 C37 N1 O8 P1 ,1.5,PE,32,1,PE 32:1,PE 14:0-18:1,688.4933,139699.7,71991.1,0,0,0,52484.7,40533.9,5134.9,5117.2,0,14:00,227.2012,9358.4,7636.6,0,0,0,18:01,281.2485,43126.3,32897.3,5134.9,5117.2,0,196.0373,4442.2,10893.8,3740.1,0,4345.2,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H73 C37 N1 O8 P1 ,1.6,PE,32,0,PE 32:0,PE 16:0-16:0,690.509,2187497.3,1453861.1,0,0,0,4067313.1,2894709.8,113700.5,56632.4,15870,16:00,255.2327,2033656.5,1447354.9,56850.2,28316.2,7935,16:00,255.2327,2033656.5,1447354.9,56850.2,28316.2,7935,196.0373,34209.7,22373.7,1773.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H73 C37 N1 O8 P1 ,1.6,PE,32,0,PE 32:0,PE 14:0-18:0,690.509,2187497.3,1453861.1,0,0,0,40691.5,27340.4,32788.5,13711.7,14695,14:00,227.2014,2316.4,1722.4,0,0,0,18:00,283.2643,38375.1,25618,32788.5,13711.7,14695,196.0373,34209.7,22373.7,1773.6,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H69 C39 N1 O8 P1 ,1.8,PE,34,4,PE 34:4,PE 16:1-18:3,710.4779,2597.2,5215.6,0,0,0,13862.2,6138.3,2828.2,-1.6,0,16:01,253.2174,11765.8,6138.3,-1.6,-1.6,0,18:03,277.2153,2096.4,0,2829.8,0,0,196.0375,4163,5456.5,3340.7,2956.3,4074.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H69 C39 N1 O8 P1 ,1.8,PE,34,4,PE 34:4,PE 14:0-20:4,710.4779,2597.2,5215.6,0,0,0,30761.1,19848.2,-1.6,-1.6,-1.6,14:00,227.2014,7648.6,-1.6,-1.6,-1.6,-1.6,20:04,303.2328,23112.5,19849.8,0,0,0,196.0375,4163,5456.5,3340.7,2956.3,4074.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H69 C39 N1 O8 P1 ,1.8,PE,34,4,PE 34:4,PE 18:1-16:3,710.4779,2597.2,5215.6,0,0,0,18211.3,13431.8,2209.4,-1.6,0,18:01,281.2487,14675.9,13431.8,2209.4,-1.6,0,16:03,249.1871,3535.4,0,0,0,0,196.0375,4163,5456.5,3340.7,2956.3,4074.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H71 C39 N1 O8 P1 ,1.5,PE,34,3,PE 34:3,PE 16:2-18:1,712.4933,243836,154403.6,0,0,0,78951.8,61335.3,30348.6,27087.6,0,16:02,251.2026,0,3530.9,0,0,0,18:01,281.2487,78951.8,57804.4,30348.6,27087.6,0,196.0372,13569.9,7707.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H71 C39 N1 O8 P1 ,1.5,PE,34,3,PE 34:3,PE 16:1-18:2,712.4933,243836,154403.6,0,0,0,333165.4,231317.5,35897.9,33482.4,0,16:01,253.2173,97609.6,64796.6,3922.2,0,0,18:02,279.233,235555.8,166520.9,31975.6,33482.4,0,196.0372,13569.9,7707.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H71 C39 N1 O8 P1 ,1.5,PE,34,3,PE 34:3,PE 16:0-18:3,712.4933,243836,154403.6,0,0,0,240249.3,169977.5,116297.1,101344.9,108448.8,16:00,255.2329,209239.5,146097.9,116297.1,101344.9,108448.8,18:03,277.217,31009.8,23879.7,0,0,0,196.0372,13569.9,7707.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H73 C39 N1 O8 P1 ,2,PE,34,2,PE 34:2,PE 16:1-18:1,714.5093,4758198.4,3188926,128621.9,345363.8,0,559276.3,345174.7,2299,17021,0,16:01,253.2173,142763.3,90617.9,2300.6,2651.2,0,18:01,281.2488,416513,254556.8,-1.6,14369.7,0,196.0376,77911.2,52476,4879.9,3762.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H73 C39 N1 O8 P1 ,2,PE,34,2,PE 34:2,PE 18:2-16:0,714.5093,4758198.4,3188926,128621.9,345363.8,0,3460024.6,2401730.8,164665.1,227841.7,-1.6,18:02,279.233,2370900.3,1653470.5,118082.3,171257.2,0,16:00,255.2328,1089124.2,748260.3,46582.8,56584.5,-1.6,196.0376,77911.2,52476,4879.9,3762.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H75 C39 N1 O8 P1 ,1.2,PE,34,1,PE 34:1,PE 16:1-18:0,716.5244,11438963.3,6712408.4,-1.6,-1.6,0,98337.9,74452,18787.9,16880.5,-1.6,16:01,253.2172,40247,27969.4,2829.9,1940.1,0,18:00,283.264,58090.9,46482.6,15957.9,14940.4,-1.6,196.0376,181845.1,117113.6,0,0,2762,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PENegMS2,H75 C39 N1 O8 P1 ,1.2,PE,34,1,PE 34:1,PE 16:0-18:1,716.5244,11438963.3,6712408.4,-1.6,-1.6,0,10463484.8,6957110.5,73438.6,68336.4,2834.2,16:00,255.2328,3145387.6,2144893.9,30169.6,28204.2,2834.2,18:01,281.2486,7318097.1,4812216.6,43269,40132.2,0,196.0376,181845.1,117113.6,0,0,2762,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
