QNAME,ERROR,CHEMSC,CLASS,LENGTH,DB,OH,NAME,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,SPECIE,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,FA2,MASSFA2,FA2INTENS:mE531_NEG_01.raw,FA2INTENS:mE531_NEG_02.raw,FA2INTENS:mE531_NEG_03.raw,FA2INTENS:mE531_NEG_04.raw,FA2INTENS:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,FAO,MASSFAO,FAOINTENS:mE531_NEG_01.raw,FAOINTENS:mE531_NEG_02.raw,FAOINTENS:mE531_NEG_03.raw,FAOINTENS:mE531_NEG_04.raw,FAOINTENS:mE531_NEG_05.raw,NEG
PSNegMS2,-0.4,H77 C46 N1 O10 P1 ,PS,40,6,None, PS 40:6,834.5287,21490.6,9288592.4,7932040.3,210716.4,0,12860.7,47605.6,856218.8,141064,0,,38338.1,1758675.2,1074307.2,27958.6,4065.1,PS 22:5-18:1,22:5,329.2479,0,0,63839.2,0,0,18:1,281.2485,12860.7,47605.6,792379.6,141064,0,None, None, None, None, None, None,87.0313,3739.9,411974.7,311211.8,0,0,None, None, None, None, None, None, None,
PSNegMS2,-0.4,H77 C46 N1 O10 P1 ,PS,40,6,None, PS 40:6,834.5287,21490.6,9288592.4,7932040.3,210716.4,0,28053.6,3819320.4,1394166.1,20663.2,3954.5,,38338.1,1758675.2,1074307.2,27958.6,4065.1,PS 22:6-18:0,22:6,327.2329,0,268396.7,62121.8,0,0,18:0,283.2635,28053.6,3550923.7,1332044.3,20663.2,3954.5,None, None, None, None, None, None,87.0313,3739.9,411974.7,311211.8,0,0,None, None, None, None, None, None, None,
PSNegMS2,1.1,H73 C48 N1 O10 P1 ,PS,42,10,None, PS 42:10,854.4987,0,31101.2,17765285.1,0,0,0,15073.8,1749125,0,0,,4184.4,27969.4,2123309.7,1610.5,0,PS 20:4-22:6,20:4,303.2334,0,10406.6,853733.8,0,0,22:6,327.2336,0,4667.1,895391.2,0,0,None, None, None, None, None, None,87.0335,0,0,451117.1,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1,H75 C48 N1 O10 P1 ,PS,42,9,None, PS 42:9,856.5126,0,365269.8,3949962.6,0,0,0,12740.3,60036,0,0,,20919.1,114621.3,411160.1,12034,0,PS 22:6-20:3,22:6,327.2328,0,12740.3,-1.8,0,0,20:3,305.2468,0,0,60037.8,0,0,None, None, None, None, None, None,87.0343,0,5851.3,22645.6,0,0,None, None, None, None, None, None, None,
PSNegMS2,-1,H75 C48 N1 O10 P1 ,PS,42,9,None, PS 42:9,856.5126,0,365269.8,3949962.6,0,0,6132.4,17731.6,756832.6,0,0,,20919.1,114621.3,411160.1,12034,0,PS 20:4-22:5,20:4,303.2329,6132.4,17731.6,425209.9,0,0,22:5,329.248,0,0,331622.8,0,0,None, None, None, None, None, None,87.0343,0,5851.3,22645.6,0,0,None, None, None, None, None, None, None,
PSNegMS2,-4.6,H79 C48 N1 O10 P1 ,PS,42,7,None, PS 42:7,860.5407,0,55553.5,-1.8,-1.8,0,0,5384.9,5393.2,0,0,,7638,15882.4,36662.8,3777.2,0,PS 22:4-20:3,22:4,331.2649,0,5384.9,5395,0,0,20:3,305.2465,0,0,-1.8,0,0,None, None, None, None, None, None,87.0358,0,0,13720.1,0,0,None, None, None, None, None, None, None,
PSNegMS2,-4.6,H79 C48 N1 O10 P1 ,PS,42,7,None, PS 42:7,860.5407,0,55553.5,-1.8,-1.8,0,0,19826.7,56322.4,0,0,,7638,15882.4,36662.8,3777.2,0,PS 22:6-20:1,22:6,327.2341,0,0,6639.8,0,0,20:1,309.2799,0,19826.7,49682.6,0,0,None, None, None, None, None, None,87.0358,0,0,13720.1,0,0,None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,SHexCerNegMS1MS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHexCerNegMS1MS2,-5.83ppm,H74 C42 S1 O11 N1 ,SHexCer,36,4,2,SHexCer 36:4;2,800.4941,0,309.4,0,0,0,3199.9,0,3476.9,3302.1,0,96.9587,3199.9,0,3476.9,3302.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,1.98ppm,H80 C42 S1 O11 N1 ,SHexCer,36,1,2,SHexCer 36:1;2,806.5474,0,229579.4,0,0,0,8572.5,63461.9,0,0,0,96.9587,8572.5,63461.9,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,1.42ppm,H82 C42 S1 O11 N1 ,SHexCer,36,0,2,SHexCer 36:0;2,808.5626,0,0,0,-1.8,0,0,-1.7,6196.5,0,0,96.9585,0,-1.7,6196.5,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,2.57ppm,H78 C44 S1 O11 N1 ,SHexCer,38,4,2,SHexCer 38:4;2,828.5322,0,0,13511.8,0,0,0,4953.2,0,3284.7,0,96.9585,0,4953.2,0,3284.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,1.98ppm,H86 C44 S1 O11 N1 ,SHexCer,38,0,2,SHexCer 38:0;2,836.5944,0,4682.9,0,108014.5,0,0,5264.3,6472.5,0,0,96.9586,0,5264.3,6472.5,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,0.53ppm,H86 C46 S1 O11 N1 ,SHexCer,40,2,2,SHexCer 40:2;2,860.5932,0,124381.2,0,0,0,4061.8,34579,3743.7,0,0,96.9588,4061.8,34579,3743.7,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,-1.33ppm,H88 C46 S1 O11 N1 ,SHexCer,40,1,2,SHexCer 40:1;2,862.6072,0,244065.1,0,2583.7,0,2088.1,46956.9,5468.4,3427.6,0,96.9586,2088.1,46956.9,5468.4,3427.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,0.37ppm,H90 C46 S1 O11 N1 ,SHexCer,40,0,2,SHexCer 40:0;2,864.6243,0,16752.8,27411.9,1425.2,0,2953.7,-1.8,0,0,0,96.9586,2953.7,-1.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,-2.27ppm,H86 C48 S1 O11 N1 ,SHexCer,42,4,2,SHexCer 42:4;2,884.5907,0,-1.9,0,0,0,0,15048.2,7480.5,4830.7,0,96.9588,0,15048.2,7480.5,4830.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,1.37ppm,H88 C48 S1 O11 N1 ,SHexCer,42,3,2,SHexCer 42:3;2,886.6096,0,128735.4,280382.2,0,0,4365.1,49032.8,0,0,0,96.9587,4365.1,49032.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,2.09ppm,H92 C48 S1 O11 N1 ,SHexCer,42,1,2,SHexCer 42:1;2,890.6415,0,592679.7,0,0,0,0,198723.4,5127.4,0,0,96.9586,0,198723.4,5127.4,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,0.83ppm,H94 C48 S1 O11 N1 ,SHexCer,42,0,2,SHexCer 42:0;2,892.6561,0,1249.1,0,0,0,0,-1.8,0,0,0,96.9587,0,-1.8,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,-4.25ppm,H102 C52 S1 O11 N1 ,SHexCer,46,0,2,SHexCer 46:0;2,948.7139,712.6,0,0,527.3,329.9,0,0,4223.8,0,0,96.959,0,0,4223.8,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,-0.91ppm,H104 C54 S1 O11 N1 ,SHexCer,48,1,2,SHexCer 48:1;2,974.7327,1531,0,0,0,0,0,4543.3,5061.7,0,0,96.9588,0,4543.3,5061.7,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
SHexCerNegMS1MS2,-1.69ppm,H106 C54 S1 O11 N1 ,SHexCer,48,0,2,SHexCer 48:0;2,976.7476,378.1,0,0,0,0,0,4571.7,0,0,0,96.959,0,4571.7,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PANegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANegMS2,0.6,H56 C29 O8 P1 ,PA,26,0,None, PA 26:0,563.3722,0,0,581.7,-1.4,0,4959.3,5914.9,7422.3,5254,0,152.9947,69739.1,59899.7,64971.4,26386.6,12264.8,PA 12:0-14:0,12:0,199.1697,4959.3,2659.1,4019.8,2891.3,0,14:0,227.2019,0,3255.8,3402.6,2362.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1,H60 C31 O8 P1 ,PA,28,0,None, PA 28:0,591.4025,0,0,0,-1.5,0,34855.9,17014.6,16519.5,14391.6,2275.5,152.995,5558.7,17340.5,17862.4,6344.9,0,PA 16:0-12:0,16:0,255.2329,33340,15345.2,16519.5,13306.5,2275.5,12:0,199.1697,1515.9,1669.4,0,1085.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1,H60 C31 O8 P1 ,PA,28,0,None, PA 28:0,591.4025,0,0,0,-1.5,0,0,0,0,9370.5,0,152.995,5558.7,17340.5,17862.4,6344.9,0,PA 14:0-14:0,14:0,227.2012,0,0,0,4685.2,0,14:0,227.2012,0,0,0,4685.2,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,5.3,H62 C33 O8 P1 ,PA,30,1,None, PA 30:1,617.4221,346955.5,13988.4,0,115412.4,49240.3,0,0,0,10861.5,0,152.995,5475.6,48864.5,17143.3,14169.6,0,PA 16:1-14:0,16:1,253.2164,0,0,0,4266.9,0,14:0,227.2014,0,0,0,6594.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,5.3,H62 C33 O8 P1 ,PA,30,1,None, PA 30:1,617.4221,346955.5,13988.4,0,115412.4,49240.3,19550.1,114383.6,4166.1,7522.7,3349.5,152.995,5475.6,48864.5,17143.3,14169.6,0,PA 12:0-18:1,12:0,199.1697,2787.9,111200.6,1502.6,2626,3349.5,18:1,281.2485,16762.2,3183,2663.5,4896.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1.1,H64 C33 O8 P1 ,PA,30,0,None, PA 30:0,619.4337,0,0,0,6836.1,0,526302.3,312363.9,348366.7,230006.5,94017.7,152.9948,71032.4,54763.8,91371.8,39725.9,12336.7,PA 16:0-14:0,16:0,255.2328,15739,11499.4,8687,13201.2,0,14:0,227.2011,510563.3,300864.5,339679.7,216805.2,94017.7,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1.1,H64 C33 O8 P1 ,PA,30,0,None, PA 30:0,619.4337,0,0,0,6836.1,0,33941.4,13347.4,15884.9,17712.5,5747.1,152.9948,71032.4,54763.8,91371.8,39725.9,12336.7,PA 12:0-18:0,12:0,199.1699,2919.5,-1.5,2465.7,0,0,18:0,283.2643,31021.9,13348.9,13419.2,17712.5,5747.1,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,4.4,H64 C35 O8 P1 ,PA,32,2,None, PA 32:2,643.4373,2891.8,0,0,31129.9,0,0,0,0,7595.2,0,152.9949,15698,20233.2,18848.8,12731.6,2964,PA 16:1-16:1,16:1,253.2181,0,0,0,3797.6,0,16:1,253.2181,0,0,0,3797.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,4.4,H64 C35 O8 P1 ,PA,32,2,None, PA 32:2,643.4373,2891.8,0,0,31129.9,0,3147.1,0,2229.9,7325.1,0,152.9949,15698,20233.2,18848.8,12731.6,2964,PA 14:0-18:2,14:0,227.2017,3147.1,0,2229.9,4549.2,0,18:2,279.2321,0,0,0,2775.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,5.3,H66 C35 O8 P1 ,PA,32,1,None, PA 32:1,645.4535,122649.7,2729.4,0,142459.2,16287.3,31453.8,13301.7,4383.1,28525.5,2435.5,152.9948,37370.2,28159.5,20764.6,33726.9,6081.9,PA 16:1-16:0,16:1,253.2175,0,0,0,7190.5,0,16:0,255.233,31453.8,13301.7,4383.1,21335,2435.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,5.3,H66 C35 O8 P1 ,PA,32,1,None, PA 32:1,645.4535,122649.7,2729.4,0,142459.2,16287.3,2254.3,3537.4,849.6,24844.4,0,152.9948,37370.2,28159.5,20764.6,33726.9,6081.9,PA 14:0-18:1,14:0,227.2014,0,0,0,16047.2,0,18:1,281.2486,2254.3,3537.4,849.6,8797.1,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,5.3,H66 C35 O8 P1 ,PA,32,1,None, PA 32:1,645.4535,122649.7,2729.4,0,142459.2,16287.3,36103.1,4001.7,12630,13371.8,4383.3,152.9948,37370.2,28159.5,20764.6,33726.9,6081.9,PA 14:1-18:0,14:1,225.1868,0,0,0,2521.9,0,18:0,283.2643,36103.1,4001.7,12630,10849.9,4383.3,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-0.9,H68 C35 O8 P1 ,PA,32,0,None, PA 32:0,647.4652,-1.5,4413.1,16621.3,-1.5,0,35584,45783.7,76557.5,27109.8,4782,152.9949,246.3,11188.4,18711.2,1261.7,0,PA 16:0-16:0,16:0,255.2333,17792,22891.9,38278.8,13554.9,2391,16:0,255.2333,17792,22891.9,38278.8,13554.9,2391,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.3,H66 C37 O8 P1 ,PA,34,3,None, PA 34:3,669.4503,-1.6,0,0,62880.4,584.4,1152.4,0,0,11158.9,0,152.995,6689.7,10936.3,17733.7,7561.9,0,PA 16:1-18:2,16:1,253.2178,0,0,0,7099.4,0,18:2,279.2323,1152.4,0,0,4059.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1,H68 C37 O8 P1 ,PA,34,2,None, PA 34:2,671.4664,0,398,10772.3,160881.6,0,4607.7,6926,8075.9,39876.3,0,152.9949,8428.8,19731.3,24972.5,21484.9,2786.4,PA 16:1-18:1,16:1,253.218,0,3509.8,3849.1,18744.8,0,18:1,281.2489,4607.7,3416.2,4226.8,21131.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1,H68 C37 O8 P1 ,PA,34,2,None, PA 34:2,671.4664,0,398,10772.3,160881.6,0,24593.1,16069.6,40287.6,25947.6,3478.4,152.9949,8428.8,19731.3,24972.5,21484.9,2786.4,PA 18:2-16:0,18:2,279.233,0,0,4178.3,6164.6,0,16:0,255.2325,24593.1,16069.6,36109.3,19783.1,3478.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.4,H70 C37 O8 P1 ,PA,34,1,None, PA 34:1,673.4816,0,244351.8,169416.3,180987.7,0,31721.4,11710.6,4324.6,12941,4675.9,152.9947,1239.7,51978.2,-1.6,22943.6,0,PA 16:1-18:0,16:1,253.218,0,-1.6,0,-1.6,0,18:0,283.2642,31721.4,11712.1,4324.6,12942.5,4675.9,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.4,H70 C37 O8 P1 ,PA,34,1,None, PA 34:1,673.4816,0,244351.8,169416.3,180987.7,0,22683.7,176491,116141.1,64905.2,3451,152.9947,1239.7,51978.2,-1.6,22943.6,0,PA 16:0-18:1,16:0,255.2326,19768.4,124874.1,107510.9,39184.4,3451,18:1,281.2486,2915.3,51616.9,8630.2,25720.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1.1,H72 C37 O8 P1 ,PA,34,0,None, PA 34:0,675.4977,0,487.5,0,0,0,25810.4,28026.8,12717,10025.8,2924.4,152.9948,2091.2,5038.7,-1.6,1536.4,0,PA 16:0-18:0,16:0,255.2329,9512.2,14774.2,1417.7,3325.5,0,18:0,283.2642,16298.3,13252.5,11299.4,6700.4,2924.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.2,H64 C39 O8 P1 ,PA,36,6,None, PA 36:6,691.4346,0,0,0,1437.3,0,0,0,0,6689.6,0,152.9949,2307.1,24559.7,4161,5729.2,0,PA 18:3-18:3,18:3,277.2202,0,0,0,3344.8,0,18:3,277.2202,0,0,0,3344.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1.8,H68 C39 O8 P1 ,PA,36,4,None, PA 36:4,695.4645,8509.6,18732.1,32071.3,91780.2,2268.3,6902.3,0,12809.9,29656.6,0,152.9949,3369.4,15291.3,31415.7,17385.8,0,PA 18:2-18:2,18:2,279.2333,3451.2,0,6404.9,14828.3,0,18:2,279.2333,3451.2,0,6404.9,14828.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1.8,H68 C39 O8 P1 ,PA,36,4,None, PA 36:4,695.4645,8509.6,18732.1,32071.3,91780.2,2268.3,17527.1,40662.2,51981.4,7695.8,3247.9,152.9949,3369.4,15291.3,31415.7,17385.8,0,PA 16:0-20:4,16:0,255.2327,17527.1,36683.8,48097.4,7695.8,3247.9,20:4,303.2332,0,3978.5,3884,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,-1.8,H68 C39 O8 P1 ,PA,36,4,None, PA 36:4,695.4645,8509.6,18732.1,32071.3,91780.2,2268.3,182201,7333.5,16879.4,44628,0,152.9949,3369.4,15291.3,31415.7,17385.8,0,PA 18:1-18:3,18:1,281.2489,182201,7333.5,16879.4,35932.1,0,18:3,277.2179,0,0,0,8695.8,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.1,H70 C39 O8 P1 ,PA,36,3,None, PA 36:3,697.4814,0,0,74070.4,129972,0,-1.6,6890,63116,56586.9,0,152.9947,-1.6,3070.8,8346.5,17178.4,-1.6,PA 18:2-18:1,18:2,279.2327,0,0,52166.6,22542.3,0,18:1,281.2486,-1.6,6890,10949.4,34044.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.1,H70 C39 O8 P1 ,PA,36,3,None, PA 36:3,697.4814,0,0,74070.4,129972,0,175708.4,19956,9664.3,21473.4,4173.8,152.9947,-1.6,3070.8,8346.5,17178.4,-1.6,PA 18:0-18:3,18:0,283.2641,175708.4,19956,9664.3,21475,4173.8,18:3,277.2178,0,0,0,-1.6,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.1,H72 C39 O8 P1 ,PA,36,2,None, PA 36:2,699.4971,0,62832.6,73544.1,212750.6,0,21703.2,9990.4,23486.9,32336.1,5056.4,152.9948,3152.3,16298.7,-1.6,26807,0,PA 18:2-18:0,18:2,279.2328,0,0,-1.6,-1.6,0,18:0,283.2644,21703.2,9990.4,23488.5,32337.7,5056.4,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.1,H72 C39 O8 P1 ,PA,36,2,None, PA 36:2,699.4971,0,62832.6,73544.1,212750.6,0,5374.3,106577.3,90211.9,118075.7,0,152.9948,3152.3,16298.7,-1.6,26807,0,PA 18:1-18:1,18:1,281.2487,2687.1,53288.7,45106,59037.9,0,18:1,281.2487,2687.1,53288.7,45106,59037.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1.6,H74 C39 O8 P1 ,PA,36,1,None, PA 36:1,701.5138,0,201183,0,57315.8,0,16431.8,5641.7,20878.3,13963.5,0,152.995,25574.6,54360.1,6519.1,26277.2,4226.6,PA 16:0-20:1,16:0,255.2328,16431.8,-1.6,20878.3,13963.5,0,20:1,309.2801,0,5643.3,0,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1.6,H74 C39 O8 P1 ,PA,36,1,None, PA 36:1,701.5138,0,201183,0,57315.8,0,16341.3,76503.6,14990.1,37622.7,3145.5,152.995,25574.6,54360.1,6519.1,26277.2,4226.6,PA 18:1-18:0,18:1,281.2487,3873.7,-1.6,-1.6,-1.6,0,18:0,283.2641,12467.7,76505.2,14991.7,37624.3,3145.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.6,H68 C41 O8 P1 ,PA,38,6,None, PA 38:6,719.4662,0,2061,29647.3,6118.6,0,3225.7,6740.9,-1.6,19901.6,0,152.9948,-1.6,-1.6,-1.6,3965.1,0,PA 20:5-18:1,20:5,301.2153,0,0,0,3012.1,0,18:1,281.2484,3225.7,6740.9,-1.6,16889.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.6,H68 C41 O8 P1 ,PA,38,6,None, PA 38:6,719.4662,0,2061,29647.3,6118.6,0,0,8353.1,11999.2,-1.6,0,152.9948,-1.6,-1.6,-1.6,3965.1,0,PA 18:2-20:4,18:2,279.2331,0,0,7760.1,-1.6,0,20:4,303.233,0,8353.1,4239.1,0,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1.3,H70 C41 O8 P1 ,PA,38,5,None, PA 38:5,721.4823,0,4330.6,126466.8,65748.1,0,5231.2,0,4956.9,6695,0,152.9948,4555.4,25138.3,40417.1,14065.2,0,PA 20:3-18:2,20:3,305.2479,0,0,0,4599.3,0,18:2,279.2335,5231.2,0,4956.9,2095.7,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1.3,H70 C41 O8 P1 ,PA,38,5,None, PA 38:5,721.4823,0,4330.6,126466.8,65748.1,0,20503,12899.8,12678.1,20260.5,3553.5,152.9948,4555.4,25138.3,40417.1,14065.2,0,PA 20:5-18:0,20:5,301.2173,0,0,0,-1.6,0,18:0,283.2647,20503,12899.8,12678.1,20262.1,3553.5,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1.3,H70 C41 O8 P1 ,PA,38,5,None, PA 38:5,721.4823,0,4330.6,126466.8,65748.1,0,-1.6,19888.1,74649.6,11028.3,0,152.9948,4555.4,25138.3,40417.1,14065.2,0,PA 18:1-20:4,18:1,281.2488,-1.6,12834.5,33690.5,6764.4,0,20:4,303.2327,0,7053.6,40959.1,4263.9,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1,H72 C41 O8 P1 ,PA,38,4,None, PA 38:4,723.4977,0,81174.4,85558.7,18635.8,0,7208.7,7507.5,6119.6,15784.4,0,152.9949,7298.2,26705.3,31241.8,11717,0,PA 20:3-18:1,20:3,305.2469,0,0,3375.4,2183.1,0,18:1,281.2489,7208.7,7507.5,2744.3,13601.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1,H72 C41 O8 P1 ,PA,38,4,None, PA 38:4,723.4977,0,81174.4,85558.7,18635.8,0,2460.2,0,0,1585.3,0,152.9949,7298.2,26705.3,31241.8,11717,0,PA 20:1-18:3,20:1,309.2811,2460.2,0,0,0,0,18:3,277.217,0,0,0,1585.3,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,1,H72 C41 O8 P1 ,PA,38,4,None, PA 38:4,723.4977,0,81174.4,85558.7,18635.8,0,4065.4,51982.1,60948.8,18825.1,-1.5,152.9949,7298.2,26705.3,31241.8,11717,0,PA 18:0-20:4,18:0,283.2642,4066.9,51983.7,60950.3,18826.7,-1.5,20:4,303.2329,-1.5,-1.5,-1.5,-1.5,0,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
PANegMS2,0.1,H74 C41 O8 P1 ,PA,38,3,None, PA 38:3,725.5128,0,0,-1.6,35099.7,0,18694.6,19705.7,16530.4,18324.1,3575.6,152.9948,6610.4,15055.7,15006.4,14668.1,0,PA 20:3-18:0,20:3,305.2473,0,-1.5,-1.5,-1.5,0,18:0,283.2644,18694.6,19707.2,16532,18325.6,3575.6,None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None,
