QNAME,CHEMSC,ERROR,CLASS,LENGTH,DB,NAME,SPECIE,MASS,PREC:mE531_NEG_01.raw,PREC:mE531_NEG_02.raw,PREC:mE531_NEG_03.raw,PREC:mE531_NEG_04.raw,PREC:mE531_NEG_05.raw,SUMFA:mE531_NEG_01.raw,SUMFA:mE531_NEG_02.raw,SUMFA:mE531_NEG_03.raw,SUMFA:mE531_NEG_04.raw,SUMFA:mE531_NEG_05.raw,FA1,MASSFA1,FA1INTENS:mE531_NEG_01.raw,FA1INTENS:mE531_NEG_02.raw,FA1INTENS:mE531_NEG_03.raw,FA1INTENS:mE531_NEG_04.raw,FA1INTENS:mE531_NEG_05.raw,MASSFRAG1,FRAG1:mE531_NEG_01.raw,FRAG1:mE531_NEG_02.raw,FRAG1:mE531_NEG_03.raw,FRAG1:mE531_NEG_04.raw,FRAG1:mE531_NEG_05.raw,MASSFRAG2,FRAG2:mE531_NEG_01.raw,FRAG2:mE531_NEG_02.raw,FRAG2:mE531_NEG_03.raw,FRAG2:mE531_NEG_04.raw,FRAG2:mE531_NEG_05.raw,MASSNLS,NLS:mE531_NEG_01.raw,NLS:mE531_NEG_02.raw,NLS:mE531_NEG_03.raw,NLS:mE531_NEG_04.raw,NLS:mE531_NEG_05.raw,NEG
LPEONegMS2,H51 C25 N1 O6 P1 ,-4,LPEO-,20,1,LPEO- 20:1,LPEO- 20:1,492.344,0,771.6,1013.2,331.9,0,0,771.6,1013.2,331.9,0,None, None, None, None, None, None, None,196.0375,7493.4,18725.1,3015.6,3470.2,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H49 C27 N1 O6 P1 ,2.2,LPEO-,22,4,LPEO- 22:4,LPEO- 22:4,514.3314,0,0,342.7,0,0,0,0,342.7,0,0,None, None, None, None, None, None, None,196.0367,2600.4,5638.8,2786.9,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPEONegMS2,H55 C27 N1 O6 P1 ,-1.7,LPEO-,22,1,LPEO- 22:1,LPEO- 22:1,520.3764,461.2,0,972.7,373.1,221.2,461.2,0,972.7,373.1,221.2,None, None, None, None, None, None, None,196.038,0,1620.4,0,6052.1,0,None, None, None, None, None, None, None, None, None, None, None, None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,LPENegMS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPENegMS2,H41 C21 N1 O7 P1 ,-0.1,LPE,16,1,LPE 16:1,LPE 16:1,450.2625,739.2,49687.7,53966.3,120812,845.6,4870,40007.8,25280.1,47185.2,0,16:1,253.2171,4870,40007.8,25280.1,47185.2,0,196.0371,0,2103.1,2896.7,0,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H43 C21 N1 O7 P1 ,0.2,LPE,16,0,LPE 16:0,LPE 16:0,452.2784,109842,409437.7,543056.1,25849,2243.3,44484.8,286646,224403.1,-1.3,-1.3,16:0,255.2327,44484.8,286646,224403.1,-1.3,-1.3,196.0372,6540.6,19774.9,14279.5,2499.5,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H39 C23 N1 O7 P1 ,-1.6,LPE,18,4,LPE 18:4,LPE 18:4,472.2462,0,0,0,4162.2,334,0,0,0,2427.7,0,18:4,275.2028,0,0,0,2427.7,0,196.0371,14169.1,0,1992,9049.6,0,None, None, None, None, None, None, None, None, None, None, None, None,
LPENegMS2,H41 C23 N1 O7 P1 ,-1.6,LPE,18,3,LPE 18:3,LPE 18:3,474.2619,16147,36551.6,27492.1,136407.8,541.3,0,0,0,38449.9,0,18:3,277.2169,0,0,0,38449.9,0,196.0377,0,2949.8,2677.9,2341.8,0,None, None, None, None, None, None, None, None, None, None, None, None,
